m,p,delta,correct,incorrect
140.0,0.5,0.25,0.44,0.64
370.0,0.5,0.24,0.96,1.0
140.0,0.5,0.26,0.44,0.68
370.0,0.5,0.23,0.96,1.0
140.0,0.5,0.27,0.56,0.6
370.0,0.5,0.22,0.88,0.96
140.0,0.5,0.28,0.68,0.72
370.0,0.5,0.21,0.84,0.84
140.0,0.5,0.29,0.64,0.76
370.0,0.5,0.2,0.68,0.72
140.0,0.5,0.3,0.52,0.64
370.0,0.5,0.19,0.88,0.76
140.0,0.5,0.31,0.6,0.64
370.0,0.5,0.18,0.8,0.8
140.0,0.5,0.32,0.64,0.76
370.0,0.5,0.17,0.6,0.76
140.0,0.5,0.33,0.84,0.96
370.0,0.5,0.16,0.56,0.64
140.0,0.5,0.34,0.84,0.8
370.0,0.5,0.15,0.36,0.44
140.0,0.5,0.35000000000000003,0.64,0.8
370.0,0.5,0.14,0.4,0.48
140.0,0.5,0.36,0.8,0.92
370.0,0.5,0.13,0.08,0.36
140.0,0.5,0.37,0.88,0.92
370.0,0.5,0.12,0.28,0.36
140.0,0.5,0.38,0.92,0.92
370.0,0.5,0.11,0.24,0.2
140.0,0.5,0.39,1.0,1.0
370.0,0.5,0.1,0.24,0.16
140.0,0.5,0.4,0.92,1.0
370.0,0.5,0.09,0.08,0.08
140.0,0.5,0.41000000000000003,0.92,0.96
370.0,0.5,0.08,0.24,0.12
140.0,0.5,0.42,0.96,0.96
370.0,0.5,0.07,0.12,0.0
140.0,0.5,0.43,0.92,1.0
370.0,0.5,0.06,0.12,0.0
140.0,0.5,0.44,0.92,1.0
370.0,0.5,0.05,0.04,0.04
140.0,0.5,0.45,1.0,1.0
370.0,0.5,0.04,0.12,0.04
140.0,0.5,0.46,1.0,1.0
370.0,0.5,0.03,0.16,0.16
140.0,0.5,0.47000000000000003,0.96,1.0
370.0,0.5,0.02,0.04,0.08
140.0,0.5,0.48,1.0,1.0
370.0,0.5,0.01,0.04,0.08
140.0,0.5,0.49,1.0,1.0
370.0,0.5,0.0,0.04,0.04
140.0,0.5,0.5,1.0,1.0
360.0,0.5,0.5,1.0,1.0
150.0,0.5,0.0,0.16,0.12
360.0,0.5,0.49,1.0,1.0
150.0,0.5,0.01,0.08,0.04
360.0,0.5,0.48,1.0,1.0
150.0,0.5,0.02,0.04,0.04
360.0,0.5,0.47000000000000003,1.0,1.0
150.0,0.5,0.03,0.0,0.04
360.0,0.5,0.46,1.0,1.0
150.0,0.5,0.04,0.12,0.04
360.0,0.5,0.45,1.0,1.0
150.0,0.5,0.05,0.08,0.04
360.0,0.5,0.44,1.0,1.0
150.0,0.5,0.06,0.08,0.0
360.0,0.5,0.43,1.0,1.0
150.0,0.5,0.07,0.0,0.04
360.0,0.5,0.42,1.0,1.0
150.0,0.5,0.08,0.12,0.04
360.0,0.5,0.41000000000000003,1.0,1.0
150.0,0.5,0.09,0.04,0.04
360.0,0.5,0.4,1.0,1.0
150.0,0.5,0.1,0.12,0.08
360.0,0.5,0.39,1.0,1.0
150.0,0.5,0.11,0.16,0.12
360.0,0.5,0.38,1.0,1.0
150.0,0.5,0.12,0.04,0.0
360.0,0.5,0.37,1.0,1.0
150.0,0.5,0.13,0.12,0.16
360.0,0.5,0.36,1.0,1.0
150.0,0.5,0.14,0.12,0.08
360.0,0.5,0.35000000000000003,1.0,1.0
150.0,0.5,0.15,0.08,0.08
360.0,0.5,0.34,1.0,1.0
150.0,0.5,0.16,0.24,0.12
360.0,0.5,0.33,0.96,1.0
150.0,0.5,0.17,0.24,0.2
360.0,0.5,0.32,1.0,1.0
150.0,0.5,0.18,0.32,0.4
360.0,0.5,0.31,1.0,1.0
150.0,0.5,0.19,0.28,0.16
360.0,0.5,0.3,1.0,1.0
150.0,0.5,0.2,0.08,0.28
360.0,0.5,0.29,0.96,0.96
150.0,0.5,0.21,0.28,0.4
360.0,0.5,0.28,1.0,1.0
150.0,0.5,0.22,0.44,0.52
360.0,0.5,0.27,0.92,0.96
150.0,0.5,0.23,0.52,0.6
360.0,0.5,0.26,1.0,1.0
150.0,0.5,0.24,0.32,0.24
360.0,0.5,0.25,0.92,1.0
150.0,0.5,0.25,0.52,0.64
360.0,0.5,0.24,0.96,0.96
150.0,0.5,0.26,0.52,0.56
360.0,0.5,0.23,0.92,0.92
150.0,0.5,0.27,0.48,0.44
360.0,0.5,0.22,0.8,0.84
150.0,0.5,0.28,0.64,0.72
360.0,0.5,0.21,0.96,0.96
150.0,0.5,0.29,0.72,0.84
360.0,0.5,0.2,0.84,0.76
150.0,0.5,0.3,0.52,0.76
360.0,0.5,0.19,0.52,0.8
150.0,0.5,0.31,0.8,0.84
360.0,0.5,0.18,0.64,0.68
150.0,0.5,0.32,0.76,0.84
360.0,0.5,0.17,0.68,0.76
150.0,0.5,0.33,0.64,0.84
360.0,0.5,0.16,0.4,0.4
150.0,0.5,0.34,0.76,0.88
360.0,0.5,0.15,0.4,0.4
150.0,0.5,0.35000000000000003,0.84,0.88
360.0,0.5,0.14,0.4,0.48
150.0,0.5,0.36,0.92,0.96
360.0,0.5,0.13,0.28,0.2
150.0,0.5,0.37,0.92,0.96
360.0,0.5,0.12,0.32,0.4
150.0,0.5,0.38,1.0,1.0
360.0,0.5,0.11,0.28,0.28
150.0,0.5,0.39,0.96,0.96
360.0,0.5,0.1,0.12,0.16
150.0,0.5,0.4,0.96,0.96
360.0,0.5,0.09,0.16,0.24
150.0,0.5,0.41000000000000003,0.92,1.0
360.0,0.5,0.08,0.08,0.12
150.0,0.5,0.42,0.92,1.0
360.0,0.5,0.07,0.08,0.12
150.0,0.5,0.43,1.0,1.0
360.0,0.5,0.06,0.08,0.12
150.0,0.5,0.44,1.0,1.0
360.0,0.5,0.05,0.08,0.08
150.0,0.5,0.45,1.0,0.96
360.0,0.5,0.04,0.2,0.08
150.0,0.5,0.46,1.0,1.0
360.0,0.5,0.03,0.08,0.04
150.0,0.5,0.47000000000000003,0.96,1.0
360.0,0.5,0.02,0.12,0.08
150.0,0.5,0.48,1.0,1.0
360.0,0.5,0.01,0.08,0.04
150.0,0.5,0.49,1.0,1.0
360.0,0.5,0.0,0.04,0.0
150.0,0.5,0.5,1.0,1.0
350.0,0.5,0.5,1.0,1.0
160.0,0.5,0.0,0.04,0.24
350.0,0.5,0.49,1.0,1.0
160.0,0.5,0.01,0.0,0.0
350.0,0.5,0.48,1.0,1.0
160.0,0.5,0.02,0.08,0.08
350.0,0.5,0.47000000000000003,1.0,1.0
160.0,0.5,0.03,0.08,0.12
350.0,0.5,0.46,1.0,1.0
160.0,0.5,0.04,0.04,0.0
350.0,0.5,0.45,1.0,1.0
160.0,0.5,0.05,0.04,0.0
350.0,0.5,0.44,1.0,1.0
160.0,0.5,0.06,0.0,0.04
350.0,0.5,0.43,1.0,1.0
160.0,0.5,0.07,0.0,0.04
350.0,0.5,0.42,1.0,1.0
160.0,0.5,0.08,0.08,0.12
350.0,0.5,0.41000000000000003,1.0,1.0
160.0,0.5,0.09,0.08,0.12
350.0,0.5,0.4,1.0,1.0
160.0,0.5,0.1,0.04,0.08
350.0,0.5,0.39,1.0,1.0
160.0,0.5,0.11,0.0,0.08
350.0,0.5,0.38,1.0,1.0
160.0,0.5,0.12,0.16,0.08
350.0,0.5,0.37,1.0,1.0
160.0,0.5,0.13,0.2,0.28
350.0,0.5,0.36,1.0,1.0
160.0,0.5,0.14,0.2,0.08
350.0,0.5,0.35000000000000003,1.0,1.0
160.0,0.5,0.15,0.24,0.16
350.0,0.5,0.34,1.0,1.0
160.0,0.5,0.16,0.28,0.44
350.0,0.5,0.33,1.0,1.0
160.0,0.5,0.17,0.44,0.32
350.0,0.5,0.32,1.0,1.0
160.0,0.5,0.18,0.28,0.28
350.0,0.5,0.31,1.0,1.0
160.0,0.5,0.19,0.32,0.32
350.0,0.5,0.3,1.0,1.0
160.0,0.5,0.2,0.36,0.28
350.0,0.5,0.29,1.0,1.0
160.0,0.5,0.21,0.44,0.4
350.0,0.5,0.28,1.0,1.0
160.0,0.5,0.22,0.52,0.44
350.0,0.5,0.27,0.96,0.92
160.0,0.5,0.23,0.48,0.44
350.0,0.5,0.26,0.96,1.0
160.0,0.5,0.24,0.32,0.56
350.0,0.5,0.25,0.88,0.96
160.0,0.5,0.25,0.56,0.52
350.0,0.5,0.24,0.84,0.96
160.0,0.5,0.26,0.56,0.76
350.0,0.5,0.23,0.92,0.96
160.0,0.5,0.27,0.8,0.76
350.0,0.5,0.22,0.76,0.8
160.0,0.5,0.28,0.76,0.76
350.0,0.5,0.21,0.68,0.84
160.0,0.5,0.29,0.72,0.8
350.0,0.5,0.2,0.88,0.84
160.0,0.5,0.3,0.8,0.8
350.0,0.5,0.19,0.72,0.84
160.0,0.5,0.31,0.8,0.88
350.0,0.5,0.18,0.6,0.76
160.0,0.5,0.32,0.92,0.96
350.0,0.5,0.17,0.52,0.8
160.0,0.5,0.33,0.92,0.8
350.0,0.5,0.16,0.52,0.44
160.0,0.5,0.34,0.88,0.96
350.0,0.5,0.15,0.2,0.32
160.0,0.5,0.35000000000000003,0.96,0.88
350.0,0.5,0.14,0.36,0.36
160.0,0.5,0.36,0.8,1.0
350.0,0.5,0.13,0.36,0.36
160.0,0.5,0.37,0.92,0.88
350.0,0.5,0.12,0.12,0.12
160.0,0.5,0.38,0.96,1.0
350.0,0.5,0.11,0.2,0.2
160.0,0.5,0.39,0.84,0.92
350.0,0.5,0.1,0.2,0.16
160.0,0.5,0.4,1.0,1.0
350.0,0.5,0.09,0.28,0.24
160.0,0.5,0.41000000000000003,1.0,1.0
350.0,0.5,0.08,0.24,0.2
160.0,0.5,0.42,0.92,1.0
350.0,0.5,0.07,0.2,0.16
160.0,0.5,0.43,1.0,1.0
350.0,0.5,0.06,0.12,0.04
160.0,0.5,0.44,0.96,1.0
350.0,0.5,0.05,0.24,0.24
160.0,0.5,0.45,1.0,1.0
350.0,0.5,0.04,0.08,0.12
160.0,0.5,0.46,1.0,1.0
350.0,0.5,0.03,0.08,0.04
160.0,0.5,0.47000000000000003,1.0,1.0
350.0,0.5,0.02,0.0,0.04
160.0,0.5,0.48,1.0,1.0
350.0,0.5,0.01,0.0,0.0
160.0,0.5,0.49,1.0,1.0
350.0,0.5,0.0,0.0,0.04
160.0,0.5,0.5,1.0,1.0
340.0,0.5,0.5,1.0,1.0
170.0,0.5,0.0,0.08,0.08
340.0,0.5,0.49,1.0,1.0
170.0,0.5,0.01,0.08,0.12
340.0,0.5,0.48,1.0,1.0
170.0,0.5,0.02,0.12,0.12
340.0,0.5,0.47000000000000003,1.0,1.0
170.0,0.5,0.03,0.04,0.04
340.0,0.5,0.46,1.0,1.0
170.0,0.5,0.04,0.12,0.08
340.0,0.5,0.45,1.0,1.0
170.0,0.5,0.05,0.08,0.04
340.0,0.5,0.44,1.0,1.0
170.0,0.5,0.06,0.04,0.12
340.0,0.5,0.43,1.0,1.0
170.0,0.5,0.07,0.04,0.16
340.0,0.5,0.42,1.0,1.0
170.0,0.5,0.08,0.08,0.08
340.0,0.5,0.41000000000000003,1.0,1.0
170.0,0.5,0.09,0.12,0.08
340.0,0.5,0.4,1.0,1.0
170.0,0.5,0.1,0.12,0.12
340.0,0.5,0.39,1.0,1.0
170.0,0.5,0.11,0.04,0.04
340.0,0.5,0.38,1.0,1.0
170.0,0.5,0.12,0.16,0.16
340.0,0.5,0.37,1.0,1.0
170.0,0.5,0.13,0.16,0.12
340.0,0.5,0.36,1.0,1.0
170.0,0.5,0.14,0.16,0.08
340.0,0.5,0.35000000000000003,1.0,1.0
170.0,0.5,0.15,0.2,0.16
340.0,0.5,0.34,1.0,1.0
170.0,0.5,0.16,0.16,0.28
340.0,0.5,0.33,1.0,1.0
170.0,0.5,0.17,0.2,0.12
340.0,0.5,0.32,1.0,1.0
170.0,0.5,0.18,0.24,0.2
340.0,0.5,0.31,1.0,1.0
170.0,0.5,0.19,0.2,0.44
340.0,0.5,0.3,0.96,1.0
170.0,0.5,0.2,0.16,0.32
340.0,0.5,0.29,1.0,1.0
170.0,0.5,0.21,0.32,0.4
340.0,0.5,0.28,1.0,1.0
170.0,0.5,0.22,0.32,0.36
340.0,0.5,0.27,1.0,1.0
170.0,0.5,0.23,0.52,0.52
340.0,0.5,0.26,0.92,0.96
170.0,0.5,0.24,0.52,0.6
340.0,0.5,0.25,0.72,0.96
170.0,0.5,0.25,0.76,0.68
340.0,0.5,0.24,0.76,0.88
170.0,0.5,0.26,0.56,0.52
340.0,0.5,0.23,0.84,0.88
170.0,0.5,0.27,0.56,0.68
340.0,0.5,0.22,0.8,0.84
170.0,0.5,0.28,0.72,0.84
340.0,0.5,0.21,0.8,0.96
170.0,0.5,0.29,0.68,0.76
340.0,0.5,0.2,0.8,0.76
170.0,0.5,0.3,0.56,0.76
340.0,0.5,0.19,0.64,0.6
170.0,0.5,0.31,0.8,0.84
340.0,0.5,0.18,0.64,0.76
170.0,0.5,0.32,0.76,0.96
340.0,0.5,0.17,0.52,0.6
170.0,0.5,0.33,0.92,0.96
340.0,0.5,0.16,0.56,0.56
170.0,0.5,0.34,0.8,0.92
340.0,0.5,0.15,0.28,0.32
170.0,0.5,0.35000000000000003,0.84,0.92
340.0,0.5,0.14,0.24,0.4
170.0,0.5,0.36,0.96,1.0
340.0,0.5,0.13,0.28,0.32
170.0,0.5,0.37,0.96,1.0
340.0,0.5,0.12,0.28,0.32
170.0,0.5,0.38,0.92,1.0
340.0,0.5,0.11,0.08,0.2
170.0,0.5,0.39,1.0,1.0
340.0,0.5,0.1,0.12,0.24
170.0,0.5,0.4,1.0,1.0
340.0,0.5,0.09,0.08,0.2
170.0,0.5,0.41000000000000003,0.92,0.96
340.0,0.5,0.08,0.12,0.04
170.0,0.5,0.42,1.0,1.0
340.0,0.5,0.07,0.04,0.16
170.0,0.5,0.43,1.0,1.0
340.0,0.5,0.06,0.08,0.12
170.0,0.5,0.44,0.96,1.0
340.0,0.5,0.05,0.04,0.08
170.0,0.5,0.45,1.0,1.0
340.0,0.5,0.04,0.08,0.04
170.0,0.5,0.46,1.0,1.0
340.0,0.5,0.03,0.0,0.0
170.0,0.5,0.47000000000000003,1.0,1.0
340.0,0.5,0.02,0.0,0.12
170.0,0.5,0.48,1.0,1.0
340.0,0.5,0.01,0.0,0.08
170.0,0.5,0.49,1.0,1.0
340.0,0.5,0.0,0.0,0.04
170.0,0.5,0.5,1.0,1.0
330.0,0.5,0.5,1.0,1.0
180.0,0.5,0.0,0.04,0.08
330.0,0.5,0.49,1.0,1.0
180.0,0.5,0.01,0.08,0.04
330.0,0.5,0.48,1.0,1.0
180.0,0.5,0.02,0.12,0.08
330.0,0.5,0.47000000000000003,1.0,1.0
180.0,0.5,0.03,0.12,0.08
330.0,0.5,0.46,1.0,1.0
180.0,0.5,0.04,0.08,0.04
330.0,0.5,0.45,1.0,1.0
180.0,0.5,0.05,0.08,0.08
330.0,0.5,0.44,1.0,1.0
180.0,0.5,0.06,0.04,0.12
330.0,0.5,0.43,1.0,1.0
180.0,0.5,0.07,0.0,0.08
330.0,0.5,0.42,1.0,1.0
180.0,0.5,0.08,0.0,0.08
330.0,0.5,0.41000000000000003,1.0,1.0
180.0,0.5,0.09,0.08,0.04
330.0,0.5,0.4,1.0,1.0
180.0,0.5,0.1,0.2,0.04
330.0,0.5,0.39,1.0,1.0
180.0,0.5,0.11,0.12,0.04
330.0,0.5,0.38,1.0,1.0
180.0,0.5,0.12,0.12,0.16
330.0,0.5,0.37,1.0,1.0
180.0,0.5,0.13,0.04,0.2
330.0,0.5,0.36,1.0,1.0
180.0,0.5,0.14,0.16,0.2
330.0,0.5,0.35000000000000003,1.0,1.0
180.0,0.5,0.15,0.08,0.08
330.0,0.5,0.34,1.0,1.0
180.0,0.5,0.16,0.12,0.12
330.0,0.5,0.33,1.0,1.0
180.0,0.5,0.17,0.32,0.48
330.0,0.5,0.32,1.0,1.0
180.0,0.5,0.18,0.44,0.36
330.0,0.5,0.31,1.0,1.0
180.0,0.5,0.19,0.16,0.28
330.0,0.5,0.3,0.96,0.96
180.0,0.5,0.2,0.36,0.36
330.0,0.5,0.29,0.88,0.92
180.0,0.5,0.21,0.36,0.48
330.0,0.5,0.28,1.0,1.0
180.0,0.5,0.22,0.44,0.52
330.0,0.5,0.27,0.92,0.92
180.0,0.5,0.23,0.52,0.48
330.0,0.5,0.26,0.88,0.96
180.0,0.5,0.24,0.68,0.72
330.0,0.5,0.25,0.92,0.88
180.0,0.5,0.25,0.56,0.72
330.0,0.5,0.24,0.84,0.92
180.0,0.5,0.26,0.6,0.6
330.0,0.5,0.23,0.8,0.92
180.0,0.5,0.27,0.72,0.8
330.0,0.5,0.22,0.8,0.84
180.0,0.5,0.28,0.72,0.84
330.0,0.5,0.21,0.8,0.92
180.0,0.5,0.29,0.8,0.8
330.0,0.5,0.2,0.68,0.72
180.0,0.5,0.3,0.92,0.84
330.0,0.5,0.19,0.72,0.68
180.0,0.5,0.31,0.92,1.0
330.0,0.5,0.18,0.68,0.68
180.0,0.5,0.32,0.92,0.92
330.0,0.5,0.17,0.68,0.68
180.0,0.5,0.33,0.88,0.96
330.0,0.5,0.16,0.44,0.44
180.0,0.5,0.34,0.96,1.0
330.0,0.5,0.15,0.44,0.48
180.0,0.5,0.35000000000000003,0.96,0.96
330.0,0.5,0.14,0.32,0.36
180.0,0.5,0.36,1.0,1.0
330.0,0.5,0.13,0.2,0.4
180.0,0.5,0.37,1.0,1.0
330.0,0.5,0.12,0.28,0.32
180.0,0.5,0.38,1.0,1.0
330.0,0.5,0.11,0.12,0.12
180.0,0.5,0.39,0.96,1.0
330.0,0.5,0.1,0.2,0.08
180.0,0.5,0.4,1.0,1.0
330.0,0.5,0.09,0.08,0.16
180.0,0.5,0.41000000000000003,1.0,1.0
330.0,0.5,0.08,0.16,0.16
180.0,0.5,0.42,1.0,1.0
330.0,0.5,0.07,0.12,0.04
180.0,0.5,0.43,1.0,1.0
330.0,0.5,0.06,0.04,0.08
180.0,0.5,0.44,1.0,1.0
330.0,0.5,0.05,0.04,0.04
180.0,0.5,0.45,1.0,0.96
330.0,0.5,0.04,0.04,0.12
180.0,0.5,0.46,1.0,1.0
330.0,0.5,0.03,0.12,0.08
180.0,0.5,0.47000000000000003,1.0,1.0
330.0,0.5,0.02,0.08,0.0
180.0,0.5,0.48,0.96,1.0
330.0,0.5,0.01,0.04,0.0
180.0,0.5,0.49,1.0,1.0
330.0,0.5,0.0,0.08,0.0
180.0,0.5,0.5,1.0,1.0
320.0,0.5,0.5,1.0,1.0
190.0,0.5,0.0,0.0,0.04
320.0,0.5,0.49,1.0,1.0
190.0,0.5,0.01,0.04,0.0
320.0,0.5,0.48,1.0,1.0
190.0,0.5,0.02,0.0,0.04
320.0,0.5,0.47000000000000003,1.0,1.0
190.0,0.5,0.03,0.12,0.08
320.0,0.5,0.46,1.0,1.0
190.0,0.5,0.04,0.04,0.0
320.0,0.5,0.45,1.0,1.0
190.0,0.5,0.05,0.04,0.08
320.0,0.5,0.44,1.0,1.0
190.0,0.5,0.06,0.08,0.08
320.0,0.5,0.43,1.0,1.0
190.0,0.5,0.07,0.24,0.16
320.0,0.5,0.42,1.0,1.0
190.0,0.5,0.08,0.08,0.08
320.0,0.5,0.41000000000000003,1.0,1.0
190.0,0.5,0.09,0.08,0.04
320.0,0.5,0.4,1.0,1.0
190.0,0.5,0.1,0.08,0.08
320.0,0.5,0.39,1.0,1.0
190.0,0.5,0.11,0.12,0.08
320.0,0.5,0.38,1.0,1.0
190.0,0.5,0.12,0.16,0.08
320.0,0.5,0.37,1.0,1.0
190.0,0.5,0.13,0.04,0.08
320.0,0.5,0.36,1.0,1.0
190.0,0.5,0.14,0.08,0.08
320.0,0.5,0.35000000000000003,0.96,1.0
190.0,0.5,0.15,0.44,0.4
320.0,0.5,0.34,1.0,1.0
190.0,0.5,0.16,0.2,0.16
320.0,0.5,0.33,0.96,1.0
190.0,0.5,0.17,0.24,0.28
320.0,0.5,0.32,1.0,0.96
190.0,0.5,0.18,0.44,0.28
320.0,0.5,0.31,0.96,1.0
190.0,0.5,0.19,0.28,0.4
320.0,0.5,0.3,0.96,0.96
190.0,0.5,0.2,0.44,0.48
320.0,0.5,0.29,1.0,1.0
190.0,0.5,0.21,0.44,0.44
320.0,0.5,0.28,0.96,1.0
190.0,0.5,0.22,0.56,0.72
320.0,0.5,0.27,0.96,0.96
190.0,0.5,0.23,0.6,0.56
320.0,0.5,0.26,0.96,0.96
190.0,0.5,0.24,0.48,0.68
320.0,0.5,0.25,1.0,0.96
190.0,0.5,0.25,0.68,0.64
320.0,0.5,0.24,0.84,0.88
190.0,0.5,0.26,0.64,0.72
320.0,0.5,0.23,0.84,0.92
190.0,0.5,0.27,0.8,0.84
320.0,0.5,0.22,0.76,0.76
190.0,0.5,0.28,0.72,0.8
320.0,0.5,0.21,0.56,0.68
190.0,0.5,0.29,0.72,0.72
320.0,0.5,0.2,0.6,0.72
190.0,0.5,0.3,0.76,0.84
320.0,0.5,0.19,0.64,0.64
190.0,0.5,0.31,0.88,0.92
320.0,0.5,0.18,0.52,0.56
190.0,0.5,0.32,0.84,0.88
320.0,0.5,0.17,0.48,0.28
190.0,0.5,0.33,0.96,1.0
320.0,0.5,0.16,0.52,0.52
190.0,0.5,0.34,0.92,0.92
320.0,0.5,0.15,0.48,0.48
190.0,0.5,0.35000000000000003,0.84,1.0
320.0,0.5,0.14,0.16,0.2
190.0,0.5,0.36,1.0,1.0
320.0,0.5,0.13,0.28,0.28
190.0,0.5,0.37,1.0,1.0
320.0,0.5,0.12,0.2,0.24
190.0,0.5,0.38,0.96,1.0
320.0,0.5,0.11,0.16,0.24
190.0,0.5,0.39,1.0,1.0
320.0,0.5,0.1,0.12,0.12
190.0,0.5,0.4,1.0,1.0
320.0,0.5,0.09,0.0,0.0
190.0,0.5,0.41000000000000003,1.0,1.0
320.0,0.5,0.08,0.12,0.04
190.0,0.5,0.42,1.0,1.0
320.0,0.5,0.07,0.12,0.08
190.0,0.5,0.43,1.0,1.0
320.0,0.5,0.06,0.04,0.12
190.0,0.5,0.44,1.0,1.0
320.0,0.5,0.05,0.12,0.16
190.0,0.5,0.45,0.96,1.0
320.0,0.5,0.04,0.12,0.0
190.0,0.5,0.46,1.0,1.0
320.0,0.5,0.03,0.04,0.08
190.0,0.5,0.47000000000000003,1.0,1.0
320.0,0.5,0.02,0.04,0.08
190.0,0.5,0.48,1.0,1.0
320.0,0.5,0.01,0.04,0.08
190.0,0.5,0.49,1.0,1.0
320.0,0.5,0.0,0.04,0.08
190.0,0.5,0.5,1.0,1.0
310.0,0.5,0.5,1.0,1.0
200.0,0.5,0.0,0.0,0.0
310.0,0.5,0.49,1.0,1.0
200.0,0.5,0.01,0.04,0.0
310.0,0.5,0.48,1.0,1.0
200.0,0.5,0.02,0.0,0.08
310.0,0.5,0.47000000000000003,1.0,1.0
200.0,0.5,0.03,0.04,0.08
310.0,0.5,0.46,1.0,1.0
200.0,0.5,0.04,0.08,0.08
310.0,0.5,0.45,1.0,1.0
200.0,0.5,0.05,0.04,0.08
310.0,0.5,0.44,1.0,1.0
200.0,0.5,0.06,0.08,0.2
310.0,0.5,0.43,1.0,1.0
200.0,0.5,0.07,0.12,0.08
310.0,0.5,0.42,1.0,1.0
200.0,0.5,0.08,0.0,0.2
310.0,0.5,0.41000000000000003,1.0,1.0
200.0,0.5,0.09,0.12,0.08
310.0,0.5,0.4,1.0,1.0
200.0,0.5,0.1,0.04,0.12
310.0,0.5,0.39,1.0,1.0
200.0,0.5,0.11,0.08,0.12
310.0,0.5,0.38,1.0,1.0
200.0,0.5,0.12,0.12,0.16
310.0,0.5,0.37,1.0,1.0
200.0,0.5,0.13,0.0,0.08
310.0,0.5,0.36,1.0,1.0
200.0,0.5,0.14,0.16,0.08
310.0,0.5,0.35000000000000003,1.0,1.0
200.0,0.5,0.15,0.16,0.2
310.0,0.5,0.34,1.0,1.0
200.0,0.5,0.16,0.2,0.28
310.0,0.5,0.33,1.0,1.0
200.0,0.5,0.17,0.32,0.28
310.0,0.5,0.32,1.0,1.0
200.0,0.5,0.18,0.36,0.32
310.0,0.5,0.31,1.0,1.0
200.0,0.5,0.19,0.2,0.2
310.0,0.5,0.3,0.96,0.96
200.0,0.5,0.2,0.44,0.52
310.0,0.5,0.29,0.92,1.0
200.0,0.5,0.21,0.56,0.68
310.0,0.5,0.28,0.96,1.0
200.0,0.5,0.22,0.52,0.6
310.0,0.5,0.27,0.8,0.96
200.0,0.5,0.23,0.76,0.8
310.0,0.5,0.26,0.92,0.96
200.0,0.5,0.24,0.48,0.6
310.0,0.5,0.25,0.92,1.0
200.0,0.5,0.25,0.68,0.88
310.0,0.5,0.24,0.84,0.88
200.0,0.5,0.26,0.64,0.72
310.0,0.5,0.23,0.84,0.8
200.0,0.5,0.27,0.8,0.8
310.0,0.5,0.22,0.92,0.92
200.0,0.5,0.28,0.92,0.88
310.0,0.5,0.21,0.6,0.88
200.0,0.5,0.29,0.8,0.92
310.0,0.5,0.2,0.76,0.8
200.0,0.5,0.3,0.88,0.96
310.0,0.5,0.19,0.68,0.76
200.0,0.5,0.31,0.8,0.88
310.0,0.5,0.18,0.6,0.64
200.0,0.5,0.32,0.88,0.96
310.0,0.5,0.17,0.48,0.48
200.0,0.5,0.33,0.92,0.96
310.0,0.5,0.16,0.44,0.48
200.0,0.5,0.34,0.96,0.96
310.0,0.5,0.15,0.36,0.44
200.0,0.5,0.35000000000000003,0.96,0.96
310.0,0.5,0.14,0.16,0.24
200.0,0.5,0.36,0.96,1.0
310.0,0.5,0.13,0.32,0.36
200.0,0.5,0.37,0.96,1.0
310.0,0.5,0.12,0.32,0.28
200.0,0.5,0.38,1.0,1.0
310.0,0.5,0.11,0.28,0.28
200.0,0.5,0.39,0.96,1.0
310.0,0.5,0.1,0.24,0.12
200.0,0.5,0.4,1.0,1.0
310.0,0.5,0.09,0.12,0.12
200.0,0.5,0.41000000000000003,1.0,1.0
310.0,0.5,0.08,0.16,0.16
200.0,0.5,0.42,1.0,1.0
310.0,0.5,0.07,0.04,0.12
200.0,0.5,0.43,1.0,1.0
310.0,0.5,0.06,0.04,0.04
200.0,0.5,0.44,1.0,1.0
310.0,0.5,0.05,0.08,0.04
200.0,0.5,0.45,1.0,1.0
310.0,0.5,0.04,0.0,0.0
200.0,0.5,0.46,1.0,1.0
310.0,0.5,0.03,0.0,0.0
200.0,0.5,0.47000000000000003,1.0,1.0
310.0,0.5,0.02,0.0,0.04
200.0,0.5,0.48,1.0,1.0
310.0,0.5,0.01,0.04,0.12
200.0,0.5,0.49,1.0,1.0
310.0,0.5,0.0,0.04,0.0
200.0,0.5,0.5,1.0,1.0
300.0,0.5,0.5,1.0,1.0
210.0,0.5,0.0,0.04,0.12
300.0,0.5,0.49,1.0,1.0
210.0,0.5,0.01,0.04,0.04
300.0,0.5,0.48,1.0,1.0
210.0,0.5,0.02,0.04,0.04
300.0,0.5,0.47000000000000003,1.0,1.0
210.0,0.5,0.03,0.04,0.08
300.0,0.5,0.46,1.0,1.0
210.0,0.5,0.04,0.0,0.04
300.0,0.5,0.45,1.0,1.0
210.0,0.5,0.05,0.0,0.04
300.0,0.5,0.44,1.0,1.0
210.0,0.5,0.06,0.08,0.04
300.0,0.5,0.43,1.0,1.0
210.0,0.5,0.07,0.12,0.0
300.0,0.5,0.42,1.0,1.0
210.0,0.5,0.08,0.04,0.08
300.0,0.5,0.41000000000000003,1.0,1.0
210.0,0.5,0.09,0.12,0.12
300.0,0.5,0.4,1.0,1.0
210.0,0.5,0.1,0.08,0.12
300.0,0.5,0.39,1.0,1.0
210.0,0.5,0.11,0.04,0.04
300.0,0.5,0.38,1.0,1.0
210.0,0.5,0.12,0.04,0.08
